Timestamp;brightness;humidity;tds;temperature
2023-06-18 14:30:59;930.0;79.0;9.0;33.2
2023-06-18 14:31:09;931.0;79.0;10.0;33.2
2023-06-18 14:31:19;922.0;79.0;11.0;33.2
2023-06-18 14:32:08;933.0;77.0;0.0;33.3
2023-06-18 14:32:15;931.0;77.0;378.0;33.3
2023-06-18 14:34:18;938.0;76.0;376.0;33.6
2023-06-18 14:34:25;900.0;76.0;380.0;33.5
2023-06-18 14:34:35;902.0;76.0;381.0;33.6
2023-06-18 14:34:45;902.0;76.0;380.0;33.7
2023-06-18 14:34:56;902.0;76.0;380.0;33.6
2023-06-18 14:35:06;902.0;76.0;380.0;33.6
2023-06-18 14:35:16;903.0;76.0;381.0;33.6
2023-06-18 14:35:26;903.0;76.0;382.0;33.7
2023-06-18 14:35:36;902.0;76.0;381.0;33.7
2023-06-18 14:35:46;903.0;76.0;382.0;33.6
2023-06-18 14:35:56;904.0;76.0;382.0;33.6
2023-06-18 14:36:06;902.0;76.0;383.0;33.6
2023-06-18 14:36:16;891.0;75.0;383.0;33.6
2023-06-18 14:36:26;721.0;76.0;382.0;33.6
2023-06-18 14:45:08;727.0;79.0;370.0;33.0
2023-06-18 14:45:18;725.0;79.0;370.0;33.0
2023-06-18 14:45:28;722.0;79.0;370.0;33.0
2023-06-18 14:45:39;724.0;79.0;370.0;33.0
2023-06-18 14:45:49;720.0;78.0;370.0;33.0
2023-06-18 14:45:59;725.0;78.0;370.0;33.0
2023-06-18 14:46:09;725.0;78.0;371.0;33.0
2023-06-18 14:46:19;722.0;78.0;369.0;33.0
2023-06-18 14:46:29;720.0;78.0;369.0;33.0
2023-06-18 14:46:39;720.0;78.0;370.0;33.0
2023-06-18 14:46:49;722.0;79.0;370.0;33.0
2023-06-18 14:46:59;722.0;79.0;369.0;33.0
2023-06-18 14:47:09;719.0;79.0;370.0;33.0
2023-06-18 14:47:19;719.0;79.0;369.0;33.0
2023-06-18 14:47:29;717.0;79.0;369.0;33.0
2023-06-18 14:47:39;683.0;79.0;369.0;33.0
2023-06-18 14:47:49;501.0;79.0;369.0;33.0
2023-06-18 14:47:59;490.0;79.0;370.0;33.0
2023-06-18 14:52:21;390.0;78.0;377.0;32.9
2023-06-18 14:52:31;387.0;78.0;377.0;32.9
2023-06-18 14:52:41;391.0;78.0;377.0;32.9
2023-06-18 14:52:51;388.0;78.0;376.0;32.9
2023-06-18 15:00:23;413.0;75.0;399.0;32.7
2023-06-18 15:00:33;419.0;75.0;391.0;32.7
2023-06-18 15:00:43;420.0;78.0;391.0;32.7
2023-06-18 15:00:53;421.0;78.0;398.0;32.7
2023-06-18 15:01:03;430.0;75.0;393.0;32.7
2023-06-18 15:01:13;429.0;78.0;394.0;32.7
2023-06-18 15:01:23;434.0;78.0;401.0;32.6
2023-06-18 15:27:20;456.0;77.0;390.0;32.5
2023-06-18 15:27:30;457.0;80.0;389.0;32.5
2023-06-18 15:27:40;457.0;80.0;389.0;32.5
2023-06-18 15:27:50;454.0;80.0;389.0;32.5
2023-06-18 15:28:01;453.0;80.0;389.0;32.5
2023-06-18 15:28:11;453.0;80.0;388.0;32.5
2023-06-18 15:28:21;452.0;80.0;390.0;32.5
2023-06-18 15:28:33;451.0;80.0;389.0;32.5
2023-06-18 15:28:41;452.0;80.0;390.0;32.5
2023-06-18 15:28:52;451.0;80.0;388.0;32.5
2023-06-18 15:29:02;451.0;80.0;388.0;32.5
2023-06-18 15:29:11;452.0;80.0;389.0;32.5
2023-06-18 15:29:21;458.0;80.0;388.0;32.5
2023-06-18 15:29:31;468.0;80.0;390.0;32.4
2023-06-18 15:29:41;475.0;80.0;388.0;32.5
2023-06-18 15:29:51;479.0;80.0;388.0;32.5
2023-06-18 15:30:01;501.0;80.0;388.0;32.4
2023-06-18 15:30:11;570.0;80.0;389.0;32.5
2023-06-18 15:30:21;581.0;80.0;389.0;32.3
2023-06-18 15:30:31;555.0;80.0;390.0;32.4
2023-06-18 15:30:41;497.0;80.0;389.0;32.4
2023-06-18 15:30:51;475.0;80.0;390.0;32.3
2023-06-18 15:31:01;465.0;79.0;388.0;32.4
2023-06-18 15:31:11;459.0;80.0;388.0;32.4
2023-06-18 15:31:21;454.0;79.0;389.0;32.4
2023-06-18 15:31:32;450.0;80.0;389.0;32.3
2023-06-18 15:31:42;447.0;80.0;387.0;32.4
2023-06-18 15:31:52;443.0;80.0;388.0;32.4
2023-06-18 15:32:02;441.0;80.0;388.0;32.2
2023-06-18 15:32:12;440.0;80.0;387.0;32.4
2023-06-18 15:32:22;438.0;79.0;389.0;32.3
2023-06-18 15:32:32;438.0;80.0;388.0;32.4
2023-06-18 15:32:44;436.0;79.0;388.0;32.4
2023-06-18 15:32:52;434.0;80.0;388.0;32.4
2023-06-18 15:33:02;432.0;79.0;388.0;32.3
2023-06-18 15:33:12;432.0;79.0;389.0;32.3
2023-06-18 15:33:22;430.0;79.0;387.0;32.3
2023-06-18 15:33:32;429.0;79.0;386.0;32.3
2023-06-18 15:33:42;429.0;80.0;387.0;32.3
2023-06-18 15:33:52;429.0;79.0;387.0;32.3
2023-06-18 15:34:02;428.0;79.0;387.0;32.3
2023-06-18 15:34:12;426.0;79.0;383.0;32.3
2023-06-18 15:41:44;430.0;79.0;395.0;32.2
2023-06-18 15:41:55;430.0;79.0;396.0;32.2
2023-06-18 15:42:05;431.0;79.0;396.0;32.3
2023-06-18 15:49:37;491.0;80.0;394.0;32.2
2023-06-18 15:49:47;494.0;80.0;394.0;32.2
2023-06-18 15:49:57;495.0;80.0;395.0;32.2
2023-06-18 15:50:07;498.0;80.0;396.0;32.2
2023-06-18 15:50:20;500.0;80.0;394.0;32.4
2023-06-18 15:57:49;571.0;81.0;399.0;32.2
2023-06-18 15:57:59;571.0;81.0;398.0;32.2
2023-06-18 15:58:09;572.0;81.0;398.0;32.2
2023-06-18 15:58:19;573.0;81.0;398.0;32.2
2023-06-18 15:58:29;574.0;81.0;397.0;32.2
2023-06-18 15:58:39;575.0;81.0;396.0;32.2
2023-06-18 16:02:30;582.0;82.0;401.0;32.2
2023-06-18 16:02:40;571.0;82.0;399.0;32.3
